Test Suite ID,Test Case ID,Priority,Module,Summary,Preconditions,Test data,Steps,Expected Result,Remarks
Функциональные проверки,,,,,,,,,
TS-01,TC-01,High,Форма авторизации,Успешная авторизация пользователя с использованием валидных данных,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Логин"": ""валидное значение""    
2. Поле ""Пароль"": ""валидное значение"" 
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных в поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Пользователь авторизован в систему. Отображен личный кабинет пользователя",
TS-02,TC-02,High,Форма авторизации,Неуспешная авторизация пользователя с использованием невалидным данных,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Логин"": ""невалидное значение""
2. Поле ""Пароль"": ""невалидное значение""
   ","1. Ввести невалидное значение из тестовых данных поле ""Логин"" ; 
2. Ввести невалидное значение из тестовых данных в поле ""Пароль"" ; 
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. В системе выходит сообщение об ошибке ""Введены невалидные данные"". ",
TS-03,TC-03,High,Форма авторизации,Неуспешная авторизация незарегистрированного пользователя,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь не зарегистрирован в системе","1. Поле ""Логин"": ""несуществующее значение""
    
2. Поле ""Пароль"": ""несуществующее значение""
   ","1. Ввести несуществующее значение из тестовых данных в поле ""Логин""; 
2.Ввести несуществующее значение из тестовых данных в поле ""Пароль""; 
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. В системе выходит сообщение об ошибке ""Пользователь не зарегистрирован"". Появляется поле ""Регистрация"".",
TS-04,TC-04,High,Форма авторизации,Неуспешная авторизация пользователя c незаполненными полями,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Логин"":
    
2. Поле ""Пароль"":
   ","1. Поле ""Логин"" оставить пустым; 
2. Поле ""Пароль"" оставить пустым;
3. Нажать кнопку ""Sign in"" 
","1. В поле ""Логин"" отображается сообщение об ошибке ""Данные не введены"";
2. В поле ""Пароль"" отображается сообщение об ошибке ""Данные не введены"";
3. Кнопка ""Sign in"" не активна.",
TS-05,TC-05,High,Форма авторизации,Неуспешная авторизация заблокированного пользователя,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь заблокирован в системе","1. Поле ""Логин"": ""валидное значение""
2. Поле ""Пароль"": ""валидное значение заблокированного пароля""
   ","1. Ввести значение из тестовых данных в поле ""Логин"" ; 
2. Ввести значение из тестовых данных в поле ""Пароль""; 
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. В системе выходит сообщение об ошибке ""Введены невалидные данные. Пользователь заблокирован в системе"". ",
Нефункциональные проверки,,,,,,,,,
Тестирование пользовательского интерфейса,,,,,,,,,
TS-06,ТС-06,Low,Форма авторизации,"Изменение цвета кнопки ""Sign in"" при наведении курсор","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",,"1. Навести курсор на кнопку ""Sign in""","1. Цвет изменен на кнопке ""Sign in""",
TS-07,ТС-07,Low,Форма авторизации,Поля ввода данных имеют стандартный формат и размер,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",,"1. Навести курсор на поле ""Логин""; 
2. Навести курсор на поле ""Пароль"";
","1. Поля ""Логин"" и ""Пароль"" имет стандартный формат и размер",
Тестирование производительности,,,,,,,,,
TS-08,TC-08,Hich,Форма авторизации,Отклик при авторизации составляет 1 секунду,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя","1. Поле ""Логин"": ""валидное значение""    
2. Поле ""Пароль"": ""валидное значение"" 
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных в поле ""Пароль"";
3. Нажать кнопку ""Sign in""                                   
4. Проверить отклик системы",Пользователь авторизован в системе. Через 1 секунду отображен личный кабинет ,
TS-09,TC-09,Hich,Форма авторизации,Скорость загрузки страницы менее 5 секунд,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",,"1. Открыть DevTools; 
2. Перейти на вкладку """"Perfomance"";
3. Открыть страницу с формой авторизации пользователя                                  
4. Посмотреть скорость загрузки страницы - """"Largest content paint""""",1. Скорость загрузки страницы менее 5 секунд ,
Тестирование совместимости,,,,,,,,,
TS-10,ТС-10,Low,Форма авторизации,Успешная авторизация пользователя с использованием валидных данных в браузере Яндекс,"1. Открыт сайт ""Название"" в браузере Яндекс
2. Открыта форма авторизации пользователя","1. Поле ""Логин"": ""валидное значение""    
2. Поле ""Пароль"": ""валидное значение"" 
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных в поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Пользователь авторизован в систему. Отображен личный кабинет пользователя на сайте в браузере Яндекс.",
TS-11,ТС-11,Low,Форма авторизации,Успешная авторизация пользователя с использованием валидных данных в браузере Opera,"1. Открыт сайт ""Название"" в браузере Opera
2. Открыта форма авторизации пользователя","1. Поле ""Логин"": ""валидное значение""    
2. Поле ""Пароль"": ""валидное значение"" 
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных в поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Пользователь авторизован в систему. Отображен личный кабинет пользователя на сайте в браузере Opera",
TS-12,ТС-12,Low,Форма авторизации,Успешная авторизация пользователя с использованием валидных данных в ОС Windows,"1. Открыт сайт ""Название"" в ОС Windows
2. Открыта форма авторизации пользователя","1. Поле ""Логин"": ""валидное значение""    
2. Поле ""Пароль"": ""валидное значение"" 
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных в поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Пользователь авторизован в систему. Отображен личный кабинет пользователя при использовании ОС Windows",
